Job Title,Job Link,Agency,Location,Pay,Section,latitude,longitude,google_maps_url,MinAnnualSalary,MaxAnnualSalary
County Ranger,https://www.governmentjobs.com/jobs/4863199-0/county-ranger,State of North Carolina,"Bertie County, NC","Permanent Full-Time - $37,782.00 - $66,120.00 Annually",Parks & Recreation,36.0608505,-76.9747965,"https://www.google.com/maps/search/?api=1&query=36.0608505,-76.9747965",37782.0,66120.0
Environmental Health Specialist - Clarke,https://www.governmentjobs.com/jobs/4818985-0/environmental-health-specialist-clarke,Georgia Department of Public Health (GA),"Athens, GA","Full Time Salaried - $47,600.00 Annually",Environmental,33.9597677,-83.376398,"https://www.google.com/maps/search/?api=1&query=33.9597677,-83.376398",,47600.0
Seasonal Parks Team Member-Golf Ranger,https://www.governmentjobs.com/jobs/4863700-0/seasonal-parks-team-member-golf-ranger,City of Gahanna,"OH 43230, OH","Seasonal - $29,598.40 - $41,600.00 Annually",Parks & Recreation,40.1437848,-82.96188878843196,"https://www.google.com/maps/search/?api=1&query=40.1437848,-82.96188878843196",29598.4,41600.0
Trades Tech IV (Trails /Construction),https://www.governmentjobs.com/jobs/4854169-0/trades-tech-iv-trails-construction,Gwinnett County,"Gwinnett County, GA","Full-Time Merit - $55,721.00 - $64,079.00 Annually",Parks & Recreation,33.9566869,-84.0227467,"https://www.google.com/maps/search/?api=1&query=33.9566869,-84.0227467",55721.0,64079.0
Working Outdoor Program Coordinator,https://www.governmentjobs.com/jobs/4862646-0/working-outdoor-program-coordinator,Gwinnett County,"Gwinnett County, GA","Full-Time Merit - $63,780.00 - $74,145.00 Annually",Parks & Recreation,33.9566869,-84.0227467,"https://www.google.com/maps/search/?api=1&query=33.9566869,-84.0227467",63780.0,74145.0
Air Planning Section Chief (Environmental Group Manager),https://www.governmentjobs.com/jobs/4753334-0/air-planning-section-chief-environmental-group-manager,Commonwealth of Pennsylvania,"Dauphin County, PA","Civil Service Permanent Full-Time - $75,678.00 - $114,915.00 Annually",Environmental,40.398036,-76.8115168,"https://www.google.com/maps/search/?api=1&query=40.398036,-76.8115168",75678.0,114915.0
Utility Energy & Conservation Analyst 2,https://www.governmentjobs.com/jobs/4856585-0/utility-energy-conservation-analyst-2,Commonwealth of Pennsylvania,"Dauphin County, PA","Civil Service Permanent Full-Time - $66,250.00 - $100,636.00 Annually",Water,40.398036,-76.8115168,"https://www.google.com/maps/search/?api=1&query=40.398036,-76.8115168",66250.0,100636.0
Plant Industry Field Technician,https://www.governmentjobs.com/jobs/4857206-0/plant-industry-field-technician,Commonwealth of Pennsylvania,"*Home Headquartered, PA",Civil Service Limited Term Full-Time - $20.34 Hourly,Natural Resources,,,,,42307.2
"Lake Erie Lifeguard Supervisor, DCNR",https://www.governmentjobs.com/jobs/4861124-0/lake-erie-lifeguard-supervisor-dcnr,Commonwealth of Pennsylvania,"Erie County, PA",Civil Service Seasonal Full-Time - $19.93 Hourly,Natural Resources,42.18230345,-80.14107739801153,"https://www.google.com/maps/search/?api=1&query=42.18230345,-80.14107739801153",,41454.4
Beach and Park Watersports Attendant - Loch Raven Fishing Center Summer Seasonal Employment,https://www.governmentjobs.com/jobs/4762106-0/beach-and-park-watersports-attendant-loch-raven-fishing-center-summer-seasonal,Baltimore County,"Phoenix, MD",SEASONAL - $17.64 - $19.86 Hourly,Fish & Wildlife,39.5163872,-76.6177815,"https://www.google.com/maps/search/?api=1&query=39.5163872,-76.6177815",36691.200000000004,41308.799999999996
Recreational Trails Program Grants Coordinator,https://www.governmentjobs.com/jobs/4863824-0/recreational-trails-program-grants-coordinator,State of South Carolina,"Richland County, SC","FTE - Full-Time - $46,655.00 - $48,500.00 Annually",Parks & Recreation,34.0190006,-80.9176832,"https://www.google.com/maps/search/?api=1&query=34.0190006,-80.9176832",46655.0,48500.0
Urban Forester/Horticulturist,https://www.governmentjobs.com/jobs/4863005-0/urban-forester-horticulturist,"City of Clemson, SC","Clemson 29631, SC","Full Time - $43,992.00 - $52,998.40 Annually",Forestry,34.6850749,-82.8364111,"https://www.google.com/maps/search/?api=1&query=34.6850749,-82.8364111",43992.0,52998.4
Fishing Center Attendant - Loch Raven Fishing Center Summer Seasonal Employment,https://www.governmentjobs.com/jobs/4761125-0/fishing-center-attendant-loch-raven-fishing-center-summer-seasonal-employment,Baltimore County,"Phoenix, MD",SEASONAL - $15.00 - $15.91 Hourly,Fish & Wildlife,39.5163872,-76.6177815,"https://www.google.com/maps/search/?api=1&query=39.5163872,-76.6177815",31200.0,33092.8
Lead Environmental Health Specialist 4 - Elbert,https://www.governmentjobs.com/jobs/4795009-0/lead-environmental-health-specialist-4-elbert,Georgia Department of Public Health (GA),"Elberton (Elbert County), GA","Full Time Salaried - $58,547.06 Annually",Environmental,34.1112226,-82.8670839,"https://www.google.com/maps/search/?api=1&query=34.1112226,-82.8670839",,58547.06
Urban Forestry Arborist - Tree Trimmer,https://www.governmentjobs.com/jobs/4861363-0/urban-forestry-arborist-tree-trimmer,City of Raleigh North Carolina,"Raleigh, NC","Full-Time - $42,357.00 - $68,480.00 Annually",Forestry,35.7803977,-78.6390989,"https://www.google.com/maps/search/?api=1&query=35.7803977,-78.6390989",42357.0,68480.0
Clerical Assistant 1 (Seasonal) - Promised Land State Park Complex,https://www.governmentjobs.com/jobs/4856369-0/clerical-assistant-1-seasonal-promised-land-state-park-complex,Commonwealth of Pennsylvania,"Pike County, PA",Civil Service Seasonal Full-Time - $17.00 Hourly,Parks & Recreation,41.340546,-75.008326,"https://www.google.com/maps/search/?api=1&query=41.340546,-75.008326",,35360.0
