Job Title,Job Link,Agency,Location,Pay,Section,Posted Date,latitude,longitude,MinAnnualSalary,MaxAnnualSalary
Property Specialist 13 (Local Public Agency and Land Use Specialist),https://www.governmentjobs.com/jobs/4869426-0/property-specialist-13-local-public-agency-and-land-use-specialist,State of Michigan,"Lansing, MI",Limited Term (position has expiration date) - $31.06 - $46.36 Hourly,Natural Resources,,42.733825,-84.55463,64604.8,96428.8
Forest Insect Pest Aide 1 (Temporary) - Capital Region,https://www.governmentjobs.com/jobs/4866943-0/forest-insect-pest-aide-1-temporary-capital-region,Commonwealth of Pennsylvania,"Dauphin County, PA",Non-Civil Service Temporary Full-time - $17.00 Hourly,Forestry,,40.398036,-76.81152,,35360
Assistant County Ranger,https://www.governmentjobs.com/jobs/4865927-0/assistant-county-ranger,State of North Carolina,"Pitt County, NC","Permanent Full-Time - $35,984.00 - $62,971.00 Annually",Parks & Recreation,,35.611481,-77.37075,35984,62971
Fish and Wildlife Technician 2 (PCN 111935),https://www.governmentjobs.com/jobs/4869930-0/fish-and-wildlife-technician-2-pcn-111935,State of Alaska,"Ketchikan, AK",Seasonal - $19.05 Hourly,Fish & Wildlife,,55.343070,-131.64668,,39624
Fish and Wildlife Technician 2 (PCN 114146),https://www.governmentjobs.com/jobs/4869395-0/fish-and-wildlife-technician-2-pcn-114146,State of Alaska,"Soldotna, AK",Seasonal - $19.05 Hourly,Fish & Wildlife,,60.484723,-151.06535,,39624
Fish and Wildlife Technician 3 (PCN 111765),https://www.governmentjobs.com/jobs/4869887-0/fish-and-wildlife-technician-3-pcn-111765,State of Alaska,"Ketchikan, AK",Seasonal - $21.50 Hourly,Fish & Wildlife,,55.343070,-131.64668,,44720
Park Ranger 1 (Ike Kinswa),https://www.governmentjobs.com/jobs/4856968-0/park-ranger-1-ike-kinswa,State of Washington,"Lewis County – Other, WA","Full Time - Non-Permanent - $47,988.00 - $64,440.00 Annually",Parks & Recreation,,47.043567,-122.85858,47988,64440
"Treatment, Storage, and Disposal Facility Compliance Expert (Environmental Specialist 5)",https://www.governmentjobs.com/jobs/4866116-0/treatment-storage-and-disposal-facility-compliance-expert-environmental-specia,State of Washington,"Benton County – Richland, WA","Full Time - Permanent - $72,924.00 - $98,040.00 Annually",Environmental,,46.341252,-119.27006,72924,98040
"Urban Forestry Engagement Specialist, Natural Resource Specialist 4 (NRS4)",https://www.governmentjobs.com/jobs/4868871-0/urban-forestry-engagement-specialist-natural-resource-specialist-4-nrs4,State of Washington,"Thurston County – Olympia, WA","Full Time - Permanent - $62,892.00 - $84,516.00 Annually",Forestry,,47.043567,-122.85858,62892,84516
Water Conservation Specialist,https://www.governmentjobs.com/jobs/4867957-0/water-conservation-specialist,City of Scottsdale,"Scottsdale, AZ",Full-Time Regular - $34.36 - $46.41 Annually,Water,,33.494219,-111.92602,34.36,46.41
Hatchery Operations Manager Region 5 - WMS Band 2 - Permanent - *01932-25,https://www.governmentjobs.com/jobs/4869774-0/hatchery-operations-manager-region-5-wms-band-2-permanent-01932-25,State of Washington,"Cowlitz County – Other, WA","Full Time - Permanent - $100,000.00 - $105,108.00 Annually",Fish & Wildlife,,46.185411,-122.78525,100000,105108
Natural Resources Analyst 2025-00702,https://www.governmentjobs.com/jobs/4867760-0/natural-resources-analyst-2025-00702,State of Wyoming,"Lander, WY","Permanent Full-time - $5,147.99 - $5,719.99 Monthly",Natural Resources,,42.833076,-108.73070,5147.99,5719.99
ECMC Northwest Area Environmental Protection Specialist,https://www.governmentjobs.com/jobs/4843904-0/ecmc-northwest-area-environmental-protection-specialist,State of Colorado,"Other (see multiple locations in job posting), CO","Full Time - $72,432.00 - $90,000.00 Annually",Environmental,,38.725178,-105.60772,72432,90000
Wildlife Biologist Specialist 13 - Waterfowl Specialist,https://www.governmentjobs.com/jobs/4864975-0/wildlife-biologist-specialist-13-waterfowl-specialist,State of Michigan,"Lansing, MI",Permanent Full Time - $33.13 - $48.66 Hourly,Fish & Wildlife,,42.733825,-84.55463,68910.4,101212.8
Park & Recreation Ranger 6-E8 (Tahquamenon Falls State Park),https://www.governmentjobs.com/jobs/4865860-0/park-recreation-ranger-6-e8-tahquamenon-falls-state-park,State of Michigan,"Paradise, MI",Permanent Intermittent (hours may vary) - $20.77 - $29.20 Hourly,Parks & Recreation,,36.101122,-115.14793,43201.6,60736
Low-Carbon Fuels Market Analyst (Natural Resource Specialist 4),https://www.governmentjobs.com/jobs/120124-1/low-carbon-fuels-market-analyst-natural-resource-specialist-4,Oregon Department of Environmental Quality,"Portland, OR","Full-Time - $6,122.00 - $9,409.00 Monthly",Natural Resources,,45.520247,-122.67419,6122,9409
